seq2,subj_dois,subjtitle_vector
1,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
2,10.15468/dd.22kyvh,Range increases - eDNA
3,10.15468/dd.mdtf98,test
4,10.15468/dd.n833pw,Test Derived Dataset
5,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
6,10.15468/dd.22kyvh,Range increases - eDNA
7,10.15468/dd.mdtf98,test
8,10.15468/dd.n833pw,Test Derived Dataset
9,10.15468/dd.22kyvh,Range increases - eDNA
10,10.15468/dd.mdtf98,test
11,10.15468/dd.n833pw,Test Derived Dataset
12,10.15468/dd.6fcd2f,More than half of data deficient species predicted to be threatened by extinction
13,10.15468/dd.22kyvh,Range increases - eDNA
14,10.15468/dd.mdtf98,test
15,10.15468/dd.n833pw,Test Derived Dataset
16,10.15468/dd.22kyvh,Range increases - eDNA
17,10.15468/dd.mdtf98,test
18,10.15468/dd.n833pw,Test Derived Dataset
